,Player,Pos,BasePos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
21,Deandre Ayton,C,C,21.0,PHO,30.0,996.0,20.4,0.571,0.006,0.168,13.5,27.0,20.1,9.7,1.0,4.5,12.4,24.3,0.0,1.1,1.3,2.4,0.117,0.8,-0.4,0.5,0.6
23,Dwayne Bacon,SG,SG,24.0,CHO,39.0,687.0,6.1,0.419,0.275,0.217,2.3,14.0,7.9,11.7,1.7,0.3,12.2,19.5,0.0,-1.2,0.4,-0.8,-0.053,-5.9,-0.9,-6.8,-0.8
24,Marvin Bagley III,PF,PF,20.0,SAC,13.0,334.0,15.7,0.512,0.132,0.186,9.5,23.6,16.4,5.0,0.9,3.4,9.1,25.9,0.0,0.0,0.4,0.4,0.055,-2.1,-1.3,-3.4,-0.1
25,Lonzo Ball,PG,PG,22.0,NOP,56.0,1817.0,13.7,0.529,0.578,0.107,3.6,16.6,10.1,29.3,2.0,1.4,20.7,18.6,0.0,0.7,1.9,2.6,0.068,0.4,0.6,1.0,1.3
26,Mo Bamba,C,C,21.0,ORL,60.0,868.0,17.8,0.549,0.369,0.163,11.7,25.7,18.5,7.3,1.2,8.9,12.2,17.2,0.0,0.9,1.7,2.5,0.14,-1.1,1.7,0.5,0.6
27,J.J. Barea,PG,PG,35.0,DAL,26.0,391.0,14.9,0.519,0.425,0.101,2.7,10.0,6.4,37.7,0.5,0.4,15.8,24.3,0.0,0.5,0.2,0.7,0.084,1.8,-2.7,-1.0,0.1
28,Harrison Barnes,PF,PF,27.0,SAC,64.0,2231.0,13.3,0.575,0.342,0.343,3.0,12.7,7.7,9.9,0.8,0.4,8.9,17.6,0.0,3.1,1.1,4.2,0.091,0.0,-1.2,-1.2,0.5
29,RJ Barrett,SG,SG,19.0,NYK,56.0,1704.0,10.7,0.479,0.271,0.349,3.0,14.8,8.7,12.8,1.6,0.9,12.9,24.0,0.0,-1.6,1.1,-0.5,-0.015,-2.8,-1.5,-4.3,-1.0
30,Will Barton,SF,SF,29.0,DEN,58.0,1916.0,15.7,0.549,0.39,0.18,4.4,16.8,10.6,16.0,1.6,1.4,9.9,20.0,0.0,2.4,2.1,4.5,0.113,1.2,-0.1,1.2,1.5
31,Keita Bates-Diop,SF,SF,24.0,TOT,39.0,665.0,12.6,0.541,0.452,0.332,3.2,15.0,8.9,6.5,1.2,2.6,5.5,15.6,0.0,0.6,0.5,1.1,0.081,-0.8,-0.1,-0.8,0.2
32,Keita Bates-Diop,SF,SF,24.0,MIN,37.0,646.0,12.5,0.535,0.456,0.316,3.3,15.1,9.0,6.7,1.2,2.6,5.6,15.8,0.0,0.6,0.5,1.0,0.076,-0.8,-0.1,-0.9,0.2
33,Keita Bates-Diop,SF,SF,24.0,DEN,2.0,19.0,15.8,0.931,0.0,2.0,0.0,11.7,5.9,0.0,0.0,4.8,0.0,8.6,0.0,0.1,0.0,0.1,0.218,0.0,0.1,0.0,0.0
34,Nicolas Batum,SF,SF,31.0,CHO,22.0,505.0,9.2,0.463,0.605,0.123,5.2,16.8,10.8,18.3,1.7,1.5,20.5,9.4,0.0,0.2,0.4,0.6,0.055,-2.7,0.9,-1.9,0.0
35,Aron Baynes,C,C,33.0,PHO,42.0,934.0,15.1,0.581,0.441,0.197,8.3,20.2,14.1,11.0,0.5,2.2,10.8,21.1,0.0,1.3,0.7,2.0,0.103,-0.2,-0.9,-1.1,0.2
36,Kent Bazemore,SF-SG,SF,30.0,TOT,64.0,1604.0,9.2,0.5,0.461,0.287,1.6,16.9,9.2,7.1,2.1,2.1,13.2,17.2,0.0,-0.8,1.5,0.7,0.02,-3.4,0.4,-3.0,-0.4
37,Kent Bazemore,SF,SF,30.0,POR,43.0,1111.0,7.6,0.475,0.525,0.221,1.2,14.6,8.0,7.2,1.9,2.4,14.4,16.0,0.0,-1.0,0.9,-0.1,-0.005,-3.6,0.4,-3.2,-0.3
38,Kent Bazemore,SG,SG,30.0,SAC,21.0,493.0,13.0,0.543,0.337,0.414,2.5,22.1,12.0,7.1,2.5,1.6,11.1,19.9,0.0,0.2,0.6,0.8,0.077,-3.0,0.4,-2.6,-0.1
39,Darius Bazley,PF,PF,19.0,OKC,53.0,909.0,8.1,0.475,0.435,0.204,2.7,20.7,12.0,4.3,1.1,3.3,13.8,14.1,0.0,-0.8,1.2,0.4,0.019,-3.1,0.6,-2.5,-0.1
40,Bradley Beal,SG,SG,26.0,WAS,57.0,2053.0,23.1,0.579,0.369,0.351,2.7,10.6,6.5,29.1,1.6,1.0,11.4,34.4,0.0,4.6,0.5,5.1,0.119,5.3,-2.4,2.9,2.5
41,Malik Beasley,SG,SG,23.0,TOT,55.0,1209.0,12.7,0.546,0.517,0.124,1.6,11.9,6.6,9.4,1.6,0.6,9.2,21.8,0.0,0.4,0.9,1.3,0.053,-0.7,-1.3,-2.0,0.0
